Country,Year,Type of event,Total affected,Total Damage
Iran,2005,Flood,13000,0
Iran,2006,Earthquake,168494,42262000
Iran,2006,Flood,2800,16000000
Iran,2007,Earthquake,1000,0
Iran,2007,Flood,10,0
Iran,2007,Storm,160009,0
Iran,2008,Earthquake,35,0
Iran,2010,Flood,0,2000000000
Jamaica,2002,Drought,105,20
Jamaica,2002,Flood,1310582,17067719
Jamaica,2003,Flood,222,0
Jamaica,2005,Flood,1207,0
Jamaica,2006,Flood,181,0
Jamaica,2008,Flood,482,0
Jamaica,2008,Storm,454247,29142815
Jamaica,2010,Flood,3165,0
Jamaica,2010,Storm,508163,13314307
Kenya,2003,Flood,21565,0
Kenya,2005,Flood,8140,0
Kenya,2006,Flood,32709,0
Kenya,2007,Flood,24848,0
Kenya,2008,Drought,98000,0
Kenya,2008,Flood,236513,0
Kenya,2009,Drought,3466957,0
Kenya,2009,Flood,285232,0
Kenya,2010,Drought,129704,0
Kenya,2010,Flood,157786,0
Kenya,2011,Drought,3117493,0
Kenya,2011,Flood,2215,0
Kenya,2012,Drought,14970,0
Kenya,2012,Flood,39134,0
Kenya,2012,Storm,622487,0
Kenya,2013,Flood,41486,0
Kenya,2013,Storm,1000,0
Kenya,2014,Storm,1,0
Kenya,2015,Flood,2751,0
Kenya,2015,Storm,18,0
Laos,2002,Flood,38713,0
Laos,2002,Storm,1321,0
Laos,2003,Drought,29687,0
Laos,2003,Flood,723,0
Laos,2003,Storm,3363,0
Laos,2004,Drought,2159,0
Laos,2004,Flood,6318,0
Laos,2004,Storm,26969,0
Laos,2005,Drought,9603,0
Laos,2005,Flood,173591,0
Laos,2005,Storm,5575,0
Laos,2006,Drought,41062,0
Laos,2006,Flood,42888,0
Laos,2006,Storm,1130,2280000
Laos,2007,Drought,40777,0
Laos,2007,Flood,112157,160
Laos,2007,Storm,2534,0
Laos,2008,Drought,30562,0
Laos,2008,Flood,942524,52300030
Laos,2008,Storm,16434,0
Laos,2009,Drought,304253,0
Laos,2009,Flood,458869,0
Laos,2009,Storm,174464,0
Laos,2010,Drought,49822,0
Laos,2010,Flood,195741,0
Laos,2010,Storm,28642,0
Laos,2011,Drought,7319,0
Laos,2011,Flood,1276223,7885506
Laos,2011,Storm,295352,0
Laos,2012,Drought,263,0
Laos,2012,Flood,60458,0
Laos,2012,Storm,6096,0
Madagascar,2002,Storm,44649,74751467
Madagascar,2003,Storm,229046,1772023
Madagascar,2004,Storm,590322,71538413
Madagascar,2005,Flood,136989,0
Madagascar,2005,Storm,60546,23021847
Madagascar,2006,Storm,53102,14033041
Madagascar,2007,Storm,392820,112692635
Madagascar,2008,Flood,15600,0
Madagascar,2008,Storm,688919,64482672
Madagascar,2009,Storm,0,3599495
Madagascar,2010,Storm,476122,0
Madagascar,2011,Storm,200276,20315199
Madagascar,2012,Storm,664711,39422485
Madagascar,2013,Storm,147418,0
Madagascar,2014,Storm,4282,0
Madagascar,2015,Flood,185186,0
Madagascar,2015,Storm,408966,0
Madagascar,2016,Flood,31208,0
Madagascar,2017,Storm,437405,0
Madagascar,2018,Storm,212200,0
Mexico,2002,Drought,24143,0
Mexico,2002,Earthquake,0,0
Mexico,2002,Flood,144106,0
Mexico,2002,Storm,2413059,1025000000
Mexico,2003,Drought,4870,0
Mexico,2003,Earthquake,0,0
Mexico,2003,Flood,511306,0
Mexico,2003,Storm,381021,0
Mexico,2004,Drought,2582,0
Mexico,2004,Earthquake,0,0
Mexico,2004,Flood,100304,0
Mexico,2004,Storm,315756,0
Mexico,2005,Drought,2224769,0
Mexico,2005,Flood,2732819,0
Mexico,2005,Storm,1249340,0
Mexico,2006,Drought,680,0
Mexico,2006,Earthquake,0,0
Mexico,2006,Flood,272266,0
Mexico,2006,Storm,727715,0
Mexico,2007,Drought,1000,0
Mexico,2007,Earthquake,15,0
Mexico,2007,Flood,1945320,3100000000
Mexico,2007,Storm,1104866,0
Mexico,2008,Drought,2140,0
Mexico,2008,Earthquake,0,0
Mexico,2008,Flood,1295220,0
Mexico,2008,Storm,652061,0
Mexico,2009,Drought,147950,0
Mexico,2009,Earthquake,0,0
Mexico,2009,Flood,921998,0
Mexico,2009,Storm,182350,400000
Mexico,2010,Drought,1200,0
Mexico,2010,Earthquake,44600,0
Mexico,2010,Flood,1996507,0
Mexico,2010,Storm,7147620,0
Mexico,2011,Drought,6000,0
Mexico,2011,Earthquake,0,0
Mexico,2011,Flood,943382,0
Mexico,2011,Storm,488696,0
Mexico,2012,Drought,321714,0
Mexico,2012,Earthquake,312722,0
Mexico,2012,Flood,3765,0
Mexico,2012,Storm,186338,0
Mexico,2013,Drought,1892000,0
Mexico,2013,Earthquake,0,0
Mexico,2013,Flood,430679,0
Mexico,2013,Storm,1738720,0
Morocco,2003,Flood,40,525000
Morocco,2004,Earthquake,15238,0
Morocco,2008,Flood,20003,0
Morocco,2009,Flood,7000,120000
Morocco,2010,Flood,0,25000
Mozambique,2002,Drought,1554716,0
Mozambique,2002,Flood,598834,0
Mozambique,2002,Storm,20804,0
Mozambique,2003,Drought,1060388,0
Mozambique,2003,Flood,525774,0
Mozambique,2003,Storm,147866,0
Mozambique,2004,Drought,661024,0
Mozambique,2004,Flood,162298,0
Mozambique,2004,Storm,391393,0
Mozambique,2005,Drought,1363699,0
Mozambique,2005,Flood,352813,0
Mozambique,2005,Storm,36324,0
Mozambique,2006,Drought,673055,0
Mozambique,2006,Earthquake,1440,0
Mozambique,2006,Flood,257193,0
Mozambique,2006,Storm,13223,0
Mozambique,2007,Drought,435055,0
Mozambique,2007,Flood,1363277,0
Mozambique,2007,Storm,264463,0
Mozambique,2008,Drought,315972,0
Mozambique,2008,Flood,522685,0
Mozambique,2008,Storm,2386993,0
Mozambique,2009,Drought,236948,0
Mozambique,2009,Flood,36792,0
Mozambique,2009,Storm,10439,0
Mozambique,2010,Drought,86581,0
Mozambique,2010,Flood,8770,0
Mozambique,2010,Storm,7140,0
Mozambique,2011,Flood,131714,0
Mozambique,2011,Storm,7804,0
Mozambique,2012,Drought,2750,0
Mozambique,2012,Flood,30775,0
Mozambique,2012,Storm,12810,0
Nepal,2002,Flood,370439,0
Nepal,2002,Storm,1620,0
Nepal,2003,Flood,334409,0
Nepal,2003,Storm,50381,0
Nepal,2004,Flood,259595,0
Nepal,2005,Flood,11247,0
Nepal,2005,Storm,750,0
Nepal,2006,Drought,1512,0
Nepal,2006,Flood,965,0
Nepal,2007,Flood,53100,0
Nepal,2007,Storm,100,0
Nepal,2008,Flood,179589,0
Nepal,2008,Storm,1095,0
Nepal,2009,Drought,13,0
Nepal,2009,Flood,18581,0
Nepal,2009,Storm,314,0
Nepal,2010,Drought,100,0
Nepal,2010,Flood,134592,0
Nepal,2010,Storm,577,0
Nepal,2011,Earthquake,35057,0
Nepal,2011,Flood,279864,0
Nepal,2011,Storm,5784,0
Nepal,2012,Earthquake,42,0
Nepal,2012,Flood,450643,0
Nepal,2012,Storm,2247,0
Nepal,2013,Earthquake,98,0
Nepal,2013,Flood,52879,0
Nepal,2013,Storm,468,0
Nicaragua,2002,Drought,0,0
Nicaragua,2002,Flood,12420,0
Nicaragua,2002,Storm,55,0
Nicaragua,2003,Flood,773,199124
Nicaragua,2003,Storm,155000,0
Nicaragua,2004,Drought,8736,0
Nicaragua,2004,Earthquake,5,0
Nicaragua,2004,Flood,605,0
Nicaragua,2004,Storm,120,1939
Nicaragua,2005,Drought,5800,0
Nicaragua,2005,Flood,50437,0
Nicaragua,2005,Storm,1401,0
Nicaragua,2007,Drought,5000,0
Nicaragua,2007,Flood,120365,0
Nicaragua,2007,Storm,0,0
Nicaragua,2008,Drought,53000,0
Nicaragua,2008,Flood,19098,5115
Nicaragua,2008,Storm,506,0
Nicaragua,2009,Drought,32711,0
Nicaragua,2009,Flood,30871,0
Nicaragua,2009,Storm,760,0
Nicaragua,2010,Drought,43050,0
Nicaragua,2010,Flood,64398,0
Nicaragua,2010,Storm,3860,0
Nicaragua,2011,Drought,3700,0
Nicaragua,2011,Earthquake,0,0
