Serial,Event,&quot;County&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
30642,ROAD ACCIDENT,KAJIADO,28/08/2022,0,0,0
30638,ROAD ACCIDENT,BARINGO,28/08/2022,0,0,0
30636,DROWNING,BARINGO,27/08/2022,0,0,0
30635,ROAD ACCIDENT,BARINGO,28/08/2022,0,0,0
30634,ROAD ACCIDENT,EMBU,28/08/2022,0,0,0
30632,ROAD ACCIDENT,MACHAKOS,27/08/2022,0,0,0
30631,ROAD ACCIDENT,KIAMBU,27/08/2022,0,0,0
30630,ROAD ACCIDENT,NAIROBI,29/08/2022,0,0,0
30630,ROAD ACCIDENT,NAIROBI,29/08/2022,0,0,0
30629,ROAD ACCIDENT,NAIROBI,28/08/2022,0,0,0
30627,FIRE,NAIROBI,27/08/2022,0,0,0
30626,FIRE,KIRINYAGA,27/08/2022,0,0,0
30625,FIRE,MOMBASA,25/08/2022,0,0,0
30624,FIRE,NAIROBI,25/08/2022,0,0,0
30623,FIRE,MERU,29/08/2022,0,0,0
30620,ROAD ACCIDENT,NYERI,24/07/2022,0,0,0
30618,ROAD ACCIDENT,NAIROBI,20/07/2022,0,0,0
30617,ROAD ACCIDENT,KIAMBU,21/07/2022,0,0,0
30614,ROAD ACCIDENT,VIHIGA,21/07/2022,0,0,0
30613,FIRE,NAKURU,21/07/2022,0,0,0
30612,ROAD ACCIDENT,NYERI,19/07/2022,0,0,0
30607,DROWNING,KAKAMEGA,22/07/2022,0,0,0
30611,ROAD ACCIDENT,KERICHO,20/07/2022,0,0,0
30610,FIRE,KERICHO,19/07/2022,0,0,0
30609,FIRE,MANDERA,20/07/2022,0,0,0
30608,DROWNING,MOMBASA,20/07/2022,0,0,0
30606,ROAD ACCIDENT,KIRINYAGA,22/07/2022,0,0,0
30605,DROWNING,KIRINYAGA,22/07/2022,0,0,0
30603,FIRE,MACHAKOS,22/07/2022,0,0,0
30602,ROAD ACCIDENT,MACHAKOS,22/07/2022,0,0,0
30601,ROAD ACCIDENT,NYAMIRA,19/07/2022,0,0,0
30600,ROAD ACCIDENT,MACHAKOS,18/07/2022,0,0,0
30599,ROAD ACCIDENT,NAKURU,17/07/2022,0,0,0
30598,ROAD ACCIDENT,MURANGA,17/07/2022,0,0,0
30597,ROAD ACCIDENT,NAIROBI,19/07/2022,0,0,0
30596,ROAD ACCIDENT,NAIROBI,19/07/2022,0,0,0
30595,DROWNING,KILIFI,18/07/2022,0,0,0
30594,FIRE,BUNGOMA,16/07/2022,0,0,0
30592,FIRE,NAIROBI,15/07/2022,0,0,0
30591,ROAD ACCIDENT,NAKURU,16/07/2022,0,0,0
30590,FIRE,KERICHO,16/07/2022,0,0,0
30589,ROAD ACCIDENT,NAIROBI,15/07/2022,0,0,0
30588,FIRE,NAIROBI,15/07/2022,0,0,0
30587,ROAD ACCIDENT,NAIROBI,15/07/2022,0,0,0
30586,ROAD ACCIDENT,MACHAKOS,18/07/2022,0,0,0
30583,FIRE,VIHIGA,15/07/2022,0,0,0
30585,ROAD ACCIDENT,KIRINYAGA,14/07/2022,0,0,0
30584,ROAD ACCIDENT,NAIROBI,14/07/2022,0,0,0
30582,DROWNING,NYERI,18/07/2022,0,0,0
30580,ROAD ACCIDENT,NAKURU,14/07/2022,0,0,0
30579,DROWNING,MACHAKOS,14/07/2022,0,0,0
30578,ROAD ACCIDENT,VIHIGA,14/07/2022,0,0,0
30577,ROAD ACCIDENT,KISUMU,12/07/2022,0,0,0
30577,ROAD ACCIDENT,KISUMU,12/07/2022,0,0,0
30576,FIRE,TURKANA,2022/5/114,0,0,0
30575,ROAD ACCIDENT,NANDI,13/07/2022,0,0,0
30573,ROAD ACCIDENT,NAKURU,07/07/2022,0,0,0
30573,ROAD ACCIDENT,NAKURU,07/07/2022,0,0,0
30574,FIRE,NYANDARUA,13/07/2022,0,0,0
30572,ROAD ACCIDENT,MOMBASA,13/07/2022,0,0,0
30571,FIRE,NAIROBI,11/07/2022,0,0,0
30569,ROAD ACCIDENT,SAMBURU,13/07/2022,0,0,0
30568,DROWNING,KIRINYAGA,13/07/2022,0,0,0
30567,ROAD ACCIDENT,NAIROBI,12/07/2022,0,0,0
30564,FIRE,NAIROBI,12/07/2022,0,0,0
30565,DROWNING,KIRINYAGA,13/07/2022,0,0,0
30563,ROAD ACCIDENT,KAJIADO,13/07/2022,0,0,0
30562,ROAD ACCIDENT,NAIROBI,11/07/2022,0,0,0
30561,ROAD ACCIDENT,KAJIADO,25/06/2022,0,0,0
30560,ROAD ACCIDENT,MIGORI,25/06/2022,0,0,0
30559,DROWNING,WEST POKOT,25/06/2022,0,0,0
